language_1,language_2,jaccard,model,source
it,hi,0.01668806161745828,gemma3,canonical_active
ko,hi,0.01455026455026455,gemma3,canonical_active
ru,hi,0.014134275618374558,gemma3,canonical_active
tr,hi,0.015133876600698487,gemma3,canonical_active
ur,hi,0.014945652173913044,gemma3,canonical_active
yo,hi,0.020155038759689922,gemma3,canonical_active
de,ig,0.052489905787348586,gemma3,canonical_active
en,ig,0.05593220338983051,gemma3,canonical_active
hi,ig,0.019345238095238096,gemma3,canonical_active
ig,ig,1.0,gemma3,canonical_active
it,ig,0.05539772727272727,gemma3,canonical_active
ko,ig,0.0169971671388102,gemma3,canonical_active
ru,ig,0.017543859649122806,gemma3,canonical_active
tr,ig,0.06193548387096774,gemma3,canonical_active
ur,ig,0.01601164483260553,gemma3,canonical_active
yo,ig,0.13197026022304834,gemma3,canonical_active
de,it,0.038551401869158876,gemma3,canonical_active
en,it,0.04285714285714286,gemma3,canonical_active
hi,it,0.01668806161745828,gemma3,canonical_active
ig,it,0.05539772727272727,gemma3,canonical_active
it,it,1.0,gemma3,canonical_active
ko,it,0.014760147601476014,gemma3,canonical_active
ru,it,0.01434878587196468,gemma3,canonical_active
tr,it,0.04611923509561305,gemma3,canonical_active
ur,it,0.013853904282115869,gemma3,canonical_active
yo,it,0.05760709010339734,gemma3,canonical_active
de,ko,0.014084507042253521,gemma3,canonical_active
en,ko,0.017316017316017316,gemma3,canonical_active
hi,ko,0.01455026455026455,gemma3,canonical_active
ig,ko,0.0169971671388102,gemma3,canonical_active
it,ko,0.014760147601476014,gemma3,canonical_active
ko,ko,1.0,gemma3,canonical_active
ru,ko,0.01245753114382786,gemma3,canonical_active
tr,ko,0.013437849944008958,gemma3,canonical_active
ur,ko,0.011673151750972763,gemma3,canonical_active
yo,ko,0.017673048600883652,gemma3,canonical_active
de,ru,0.014830508474576272,gemma3,canonical_active
en,ru,0.017834394904458598,gemma3,canonical_active
hi,ru,0.014134275618374558,gemma3,canonical_active
ig,ru,0.017543859649122806,gemma3,canonical_active
it,ru,0.01434878587196468,gemma3,canonical_active
ko,ru,0.01245753114382786,gemma3,canonical_active
ru,ru,1.0,gemma3,canonical_active
tr,ru,0.013184584178498986,gemma3,canonical_active
ur,ru,0.011574074074074073,gemma3,canonical_active
yo,ru,0.018158236057068743,gemma3,canonical_active
de,tr,0.030851063829787233,gemma3,canonical_active
en,tr,0.03184713375796178,gemma3,canonical_active
hi,tr,0.015133876600698487,gemma3,canonical_active
ig,tr,0.06193548387096774,gemma3,canonical_active
it,tr,0.04611923509561305,gemma3,canonical_active
ko,tr,0.013437849944008958,gemma3,canonical_active
ru,tr,0.013184584178498986,gemma3,canonical_active
tr,tr,1.0,gemma3,canonical_active
ur,tr,0.012585812356979404,gemma3,canonical_active
yo,tr,0.05992010652463382,gemma3,canonical_active
de,ur,0.013205282112845138,gemma3,canonical_active
en,ur,0.016320474777448073,gemma3,canonical_active
hi,ur,0.014945652173913044,gemma3,canonical_active
ig,ur,0.01601164483260553,gemma3,canonical_active
it,ur,0.013853904282115869,gemma3,canonical_active
ko,ur,0.011673151750972763,gemma3,canonical_active
ru,ur,0.011574074074074073,gemma3,canonical_active
tr,ur,0.012585812356979404,gemma3,canonical_active
ur,ur,1.0,gemma3,canonical_active
yo,ur,0.016666666666666666,gemma3,canonical_active
de,yo,0.03708791208791209,gemma3,canonical_active
en,yo,0.04929577464788732,gemma3,canonical_active
hi,yo,0.020155038759689922,gemma3,canonical_active
ig,yo,0.13197026022304834,gemma3,canonical_active
it,yo,0.05760709010339734,gemma3,canonical_active
