language,script,tokens_per_word,tokens_per_char,vocab_used,n_sentences,n_words,n_tokens,n_chars,model,source
ig,Latin,2.6426536099851505,0.4893504756242568,2797,1012,24917,65847,134560,qwen3,flores
it,Latin,1.847106248200403,0.28759815035417385,4913,1012,24311,44905,156138,qwen3,flores
ko,Hangul,2.917692806221646,0.6824831349958311,2313,1012,15430,45020,65965,qwen3,flores
ru,Cyrillic,2.4660900534215213,0.3411144578313253,3179,1012,19655,48471,142096,qwen3,flores
tr,Latin,2.546709069225964,0.33032557454331174,4206,1012,17609,44845,135760,qwen3,flores
ur,Arabic,3.1447220916356273,0.6693478244136731,945,1012,27653,86961,129919,qwen3,flores
yo,Latin,2.9447750535586765,0.585175491154489,2770,1012,25206,74226,126844,qwen3,flores
de,Latin,1.84617102744097,0.27404183165034196,502,2340,94020,173577,633396,qwen3,canonical_active
en,Latin,1.2702914446881854,0.22691013720408199,312,2340,95730,121605,535917,qwen3,canonical_active
hi,Devanagari,4.687940433452998,0.9150696592820214,113,2340,112815,528870,577956,qwen3,canonical_active
ig,Latin,2.6173979118002983,0.5355244747191497,307,2340,106599,279012,521007,qwen3,canonical_active
it,Latin,1.9472890146157473,0.30549419120692717,473,2340,95445,185859,608388,qwen3,canonical_active
ko,Hangul,2.640034737299175,0.6736394256337529,410,2340,69090,182400,270768,qwen3,canonical_active
ru,Cyrillic,2.388243406309257,0.34359422043877447,507,2340,87015,207813,604821,qwen3,canonical_active
tr,Latin,2.462504877097152,0.34531736435211274,507,2340,76890,189342,548313,qwen3,canonical_active
ur,Arabic,3.0209875925555334,0.6508140092583112,192,2340,119928,362301,556689,qwen3,canonical_active
yo,Latin,3.2894530085882256,0.6722420618442544,264,2340,110733,364251,541845,qwen3,canonical_active
de,Latin,1.866081684747926,0.27476415094339623,508,2340,94020,175449,638544,qwen3,canonical_revoked
en,Latin,1.2702914446881854,0.22533590531833875,312,2340,95730,121605,539661,qwen3,canonical_revoked
hi,Devanagari,4.696237202499668,0.917432050536115,113,2340,112815,529806,577488,qwen3,canonical_revoked
ig,Latin,2.6405837426535306,0.5369714955456377,310,2340,105663,279012,519603,qwen3,canonical_revoked
it,Latin,1.9573050577085485,0.30598204506337034,477,2340,95913,187731,613536,qwen3,canonical_revoked
ko,Hangul,2.646808510638298,0.6718839557338742,410,2340,69090,182868,272172,qwen3,canonical_revoked
ru,Cyrillic,2.404378555421479,0.3451144377087715,506,2340,87015,209217,606225,qwen3,canonical_revoked
tr,Latin,2.4689692390717757,0.3457172621135982,511,2340,77826,192150,555801,qwen3,canonical_revoked
ur,Arabic,3.017018837835144,0.6486780423776486,197,2340,120396,363237,559965,qwen3,canonical_revoked
yo,Latin,3.251415567175097,0.6644686211001302,265,2340,110733,360039,541845,qwen3,canonical_revoked
