target_lang,script,subword_alignment_coverage,subword_alignment_density,n_sentences,n_source_subwords,n_target_subwords,n_aligned_source_subwords,n_alignment_links,model,source
de,Latin,0.868469642663191,1.1585387929473951,1012,27621,43058,23988,32000,qwen3,flores
hi,Devanagari,0.9409145215596828,3.1475688787516742,1012,27621,121957,25989,86939,qwen3,flores
ig,Latin,0.7987762933999493,1.793562868831686,1012,27621,65847,22063,49540,qwen3,flores
it,Latin,0.8698816118170957,1.204880344665291,1012,27621,44905,24027,33280,qwen3,flores
ko,Hangul,0.7043915861120162,1.242279425075124,1012,27621,45020,19456,34313,qwen3,flores
ru,Cyrillic,0.8296585930994533,1.259657506969335,1012,27621,48471,22916,34793,qwen3,flores
tr,Latin,0.7428405923029578,1.2336265884652982,1012,27621,44845,20518,34074,qwen3,flores
ur,Arabic,0.8236486731110387,2.3279026827413922,1012,27621,86961,22750,64299,qwen3,flores
yo,Latin,0.7080482241772564,1.9758879113717824,1012,27621,74226,19557,54576,qwen3,flores
de,Latin,0.9157353727231611,1.3406603346901855,2340,121605,173577,111358,163031,qwen3,canonical_active
hi,Devanagari,0.9695160560832202,3.750561243369927,2340,121605,528870,117898,456087,qwen3,canonical_active
ig,Latin,0.9268944533530694,2.0069240573989555,2340,121605,279012,112715,244052,qwen3,canonical_active
it,Latin,0.8951770075243617,1.4543234242013074,2340,121605,185859,108858,176853,qwen3,canonical_active
ko,Hangul,0.7821388923152831,1.4608363142962872,2340,121605,182400,95112,177645,qwen3,canonical_active
ru,Cyrillic,0.8725216890752847,1.6211422227704453,2340,121605,207813,106103,197139,qwen3,canonical_active
tr,Latin,0.8009045680687472,1.4757041240080588,2340,121605,189342,97394,179453,qwen3,canonical_active
ur,Arabic,0.9302660252456725,2.530816989433,2340,121605,362301,113125,307760,qwen3,canonical_active
yo,Latin,0.9451585049956828,2.659693269191234,2340,121605,364251,114936,323432,qwen3,canonical_active
de,Latin,0.9059989309650096,1.3722133135973027,2340,121605,175449,110174,166868,qwen3,canonical_revoked
hi,Devanagari,0.9684963611693598,3.774351383577978,2340,121605,529806,117774,458980,qwen3,canonical_revoked
ig,Latin,0.926302372435344,1.9751490481476912,2340,121605,279012,112643,240188,qwen3,canonical_revoked
it,Latin,0.8856708194564368,1.4505406850047284,2340,121605,187731,107702,176393,qwen3,canonical_revoked
ko,Hangul,0.7764236667900168,1.4526787549854037,2340,121605,182868,94417,176653,qwen3,canonical_revoked
ru,Cyrillic,0.8549895152337487,1.610238065869002,2340,121605,209217,103971,195813,qwen3,canonical_revoked
tr,Latin,0.7976563463673368,1.541301755684388,2340,121605,192150,96999,187430,qwen3,canonical_revoked
ur,Arabic,0.9188602442333785,2.54486246453682,2340,121605,363237,111738,309468,qwen3,canonical_revoked
yo,Latin,0.953135150692817,2.6674232145059826,2340,121605,360039,115906,324372,qwen3,canonical_revoked
